 , , , , , , , , , , , , , , , , , , , , , , 
دیده بان بازار : 1405/03/17 - زمان آخرین معامله : 10:26:05,,,,,,,,,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,EPS,P/E,خرید - تعداد,خرید - حجم,خرید - قیمت,فروش - قیمت,فروش - حجم,فروش - تعداد
جهرم,پتروشيمي جهرم,46,5577658,3654724951,649,637,661,12.00,1.85,655,6.00,0.92,637,661,-104,-6.3,1,59419,659,661,49254,1
صفولا65,صكوك اجاره فولاد65-بدون ضامن,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,7500,990000,1000000,7500,1
شصدف,صنعتي دوده فام,585,5961629,72173715030,12010,11950,12080,70.00,0.58,12110,100.00,0.83,11950,12280,2071,5.85,4,4405,12090,12120,30000,1
قيراط,صندوق س.كالاي درفش دماوند,0,0,0,32038,0,31978,-60.00,-0.19,32038,0,0,0,0,,,1,1208,31949,33000,10000,1
آس,صندوق س. گنجينه ارمغان الماس-س,154,1452310,18940451040,13053,12715,13400,347.00,2.66,13042,-11.00,-0.08,12715,13442,,,4,21100,13113,13399,41800,1
بتيس,بيمه زندگي ايساتيس,281,18329403,35904018531,1916,1916,1955,39.00,2.04,1959,43.00,2.24,1916,1973,459,4.27,3,122824,1955,1971,50000,1
غشهد,شهد ايران ‌,157,2990082,24977800840,8120,8350,8360,240.00,2.96,8350,230.00,2.83,8140,8360,1487,5.62,9,602201,8360,8420,610,1
كارما,صندوق س.درآمد ثابت كيهان-د,18,988697,18979184669,19172,19197,19196,24.00,0.13,19196,24.00,0.13,19196,19197,,,71,70169360,19196,19197,8842943,9
حآساح,ح.آسيا سير ارس,173,1893271,3428185650,1769,1718,1813,44.00,2.49,1811,42.00,2.37,1718,1822,,,2,3753,1813,1822,36445,7
خفناور,مهندسي صنعتي روان فن آور,15,30105,535567950,17280,17790,17790,510.00,2.95,17790,510.00,2.95,17790,17790,186,95.65,16,884435,17790,0,0,0
ولكار,ليزينگ كارآفرين,108,639513,2548932864,3951,3992,4030,79.00,2.00,3986,35.00,0.89,3900,4038,563,7.08,1,73172,4030,4032,3129,1
بتهران,بيمه اتكايي تهران رواك,10,1626900,4457706000,2661,2740,2740,79.00,2.97,2740,79.00,2.97,2740,2740,,,69,22854863,2740,0,0,0
اكتوور075,مرابحه اكتوور كو-پاداش070612,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,1010000,5000,1
عغدير8,سلف آهن اسفنجي آهن وفولاد,0,0,0,2780000,0,2780000,0,0,2780000,0,0,0,0,,,1,19270,2780000,2835500,19270,1
كلوند,كاشي‌ الوند,64,6707141,32610119542,4721,4862,4862,141.00,2.99,4862,141.00,2.99,4862,4862,898,5.41,74,12888774,4862,0,0,0
كروميت,توسعه معادن كروميت كاوندگان,272,11386019,41990704479,3584,3650,3691,107.00,2.99,3688,104.00,2.90,3650,3691,207,17.82,47,5295353,3691,3782,2000,1
موج,ص.س.اهرمي موج فيروزه-س,268,2200345,95684202670,41814,43486,43486,"1,672.00",4.00,43486,"1,672.00",4.00,43486,43486,,,1281,57499390,43486,46234,100,1
گلچين07,مرابحه گلچين رسانه 14071028,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,0,0,0
طبيعت062,مرابحه طبيعت سبز-كيميا060710,0,0,0,971000,0,971000,0,0,971000,0,0,0,0,,,1,5000,999990,1000100,5000,1
اهرم,صندوق س سهامي كاريزما- اهرمي,1264,21990131,827906442019,36201,37649,37649,"1,448.00",4.00,37649,"1,448.00",4.00,37649,37649,,,1982,102625267,37649,39060,7152,1
آرمان,بيمه آرمان,43,4525226,8150638079,1837,1889,1789,-48.00,-2.61,1801,-36.00,-1.96,1783,1889,90,20.01,1,30000,1790,1845,60000,1
آباد,توريستي ورفاهي آبادگران ايران,241,20980145,15961934879,743,760,763,20.00,2.69,761,18.00,2.42,747,764,3,253.67,2,175000,759,764,806433,10
ولنوين,ليزينگ اقتصاد نوين,807,21103287,43279088215,2071,2013,2087,16.00,0.77,2051,-20.00,-0.97,2013,2126,304,6.75,1,47214,2087,2088,441,2
درپاد,گروه صنعتي درپاد تبريز,2087,3717029,37313876430,9750,10040,10040,290.00,2.97,10040,290.00,2.97,9830,10040,663,15.14,33,794239,10040,10090,96,1
خمحركه,نيرو محركه‌,35,1029405,4383206490,4134,4258,4258,124.00,3.00,4258,124.00,3.00,4258,4258,42,101.38,99,8570681,4258,0,0,0
رتاپ,تجارت الكترونيك  پارسيان,269,7137661,37353018640,5170,5160,5280,110.00,2.13,5230,60.00,1.16,5030,5300,592,8.83,8,215494,5240,5290,247700,6
صاميا051,صكوك مرابحه خزاميا051-3ماهه18%,0,0,0,1010000,0,1010000,0,0,1010000,0,0,0,0,,,1,10000,1003000,1012000,5000,1
مديريت,س. و خدمات مديريت صند. ب كشوري,180,1666851,5582820205,3260,3330,3351,91.00,2.79,3349,89.00,2.73,3273,3357,1217,2.75,1,1303,3351,3356,67541,4
لطيف,محصولات كاغذي لطيف,86,3831415,11344819815,2875,2961,2961,86.00,2.99,2961,86.00,2.99,2961,2961,239,12.39,59,20171623,2961,3063,61,1
آرين سلامت08,مرابحه آرين سلامت سينا080430,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,1010000,5000,1
كحافظ,كاشي‌ وسراميك‌ حافظ‌,210,17236935,29251037211,1648,1697,1697,49.00,2.97,1697,49.00,2.97,1696,1697,323,5.25,98,16283574,1697,0,0,0
طب نوين05,مرابحه طب پلاستيك نوين14050814,0,0,0,1067500,0,1067500,0,0,1067500,0,0,0,0,,,1,5000,1050000,1070000,5000,1
كبافق,معادن‌ بافق‌,71,427898,12749528780,28940,29800,29800,860.00,2.97,29800,860.00,2.97,29070,29800,1694,17.59,52,445516,29800,30290,168,1
صلقما903,صكوك مرابحه دلقما903-3ماهه23%,0,0,0,763000,0,763000,0,0,763000,0,0,0,0,,,1,4000,763000,770000,50,1
فايرا,آلومينيوم‌ايران‌,24,361914,2931503400,7870,8100,8100,230.00,2.92,8100,230.00,2.92,8100,8100,879,9.22,959,114420800,8100,0,0,0
چدن,توليدي چدن سازان,245,17253650,37561196050,2114,2177,2177,63.00,2.98,2177,63.00,2.98,2177,2177,384,5.67,136,24412341,2177,0,0,0
حيات,بيمه زندگي مفيد,20,172677,1089448870,6130,6200,6310,180.00,2.94,6310,180.00,2.94,6200,6310,471,13.4,20,1238715,6310,0,0,0
همسنگ,صندوق س. شاخصي هم وزن همسنگ-س,704,29021812,361292952493,12090,12439,12452,362.00,2.99,12449,359.00,2.97,12330,12452,,,337,57580376,12452,12468,1028440,8
صاميا601,صكوك مرابحه خزاميا601-3ماهه18%,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,12500,990000,1000000,12500,1
آبارا07,مرابحه صنايع پمپ آبارا070224,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,1010000,5000,1
